,sales,order_id,order_date,customer_id,segment,category,sub_category,quantity,profit
0,9892.74,CA-2016-117121,2016-12-17,AB-10105,Consumer,Office Supplies,Binders,13,4946.37
1,9449.95,CA-2014-116904,2014-09-23,SC-20095,Consumer,Office Supplies,Binders,5,4630.4755
2,9099.93,US-2016-107440,2016-04-16,BS-11365,Corporate,Technology,Machines,7,2365.9818
3,8749.95,CA-2016-158841,2016-02-02,SE-20110,Consumer,Technology,Machines,5,2799.984
4,8399.976,CA-2016-143714,2016-05-23,CC-12370,Consumer,Technology,Copiers,4,1119.9968
5,8187.65,CA-2014-143917,2014-07-25,KL-16645,Consumer,Office Supplies,Supplies,5,327.506
6,8159.952,CA-2014-139892,2014-09-08,BM-11140,Consumer,Technology,Machines,8,-1359.992
7,7999.98,US-2017-168116,2017-11-04,GT-14635,Corporate,Technology,Machines,4,-3839.9904
8,6999.96,CA-2014-145541,2014-12-14,TB-21400,Consumer,Technology,Machines,4,2239.9872
9,6354.95,CA-2015-145352,2015-03-16,CM-12385,Consumer,Office Supplies,Binders,5,3177.475
10,5443.96,CA-2017-138289,2017-01-16,AR-10540,Consumer,Office Supplies,Binders,4,2504.2216
11,5399.91,US-2016-140158,2016-10-04,DR-12940,Home Office,Technology,Copiers,9,2591.9568
12,5199.96,CA-2017-143112,2017-10-05,TS-21370,Corporate,Technology,Machines,4,1351.9896
13,5083.96,CA-2017-135909,2017-10-13,JW-15220,Corporate,Office Supplies,Binders,5,1906.485
14,4912.59,CA-2016-136301,2016-03-13,EH-13765,Corporate,Office Supplies,Supplies,3,196.5036
15,4899.93,US-2016-143819,2016-03-01,KD-16270,Consumer,Technology,Machines,7,2400.9657
16,4899.93,US-2015-128587,2015-12-24,HM-14860,Corporate,Technology,Copiers,7,2302.9671
17,4799.984,CA-2017-149881,2017-04-01,NC-18535,Corporate,Technology,Machines,2,359.9988
18,4663.736,CA-2017-158379,2017-09-22,JA-15970,Consumer,Office Supplies,Supplies,7,-1049.3406
19,4643.8,CA-2015-114811,2015-11-08,KD-16495,Corporate,Technology,Machines,4,2229.024
20,4548.81,CA-2014-144624,2014-11-19,JM-15865,Consumer,Technology,Phones,7,1228.1787
21,4535.976,CA-2016-138478,2016-10-21,DP-13390,Home Office,Office Supplies,Binders,3,1644.2913
22,4476.8,CA-2016-100300,2016-06-24,MJ-17740,Consumer,Technology,Machines,4,503.64
23,4416.174,CA-2017-118892,2017-08-17,TP-21415,Consumer,Furniture,Chairs,9,-630.882
24,4404.9,CA-2015-117086,2015-11-08,QJ-19255,Corporate,Furniture,Bookcases,5,1013.127
25,4367.896,CA-2017-129021,2017-08-23,PO-18850,Consumer,Technology,Phones,13,327.5922
26,4355.168,CA-2016-129714,2016-09-01,AB-10060,Home Office,Office Supplies,Binders,4,1415.4296
27,4305.552,US-2017-102183,2017-08-21,PK-19075,Consumer,Office Supplies,Binders,6,1453.1238
28,4297.644,CA-2015-116638,2015-01-28,JH-15985,Consumer,Furniture,Tables,13,-1862.3124
29,4228.704,US-2015-126977,2015-09-17,PF-19120,Consumer,Furniture,Bookcases,6,158.5764
30,4164.05,CA-2014-102988,2014-04-05,GM-14695,Corporate,Office Supplies,Supplies,5,83.281
31,4164.05,US-2017-167402,2017-01-13,CP-12085,Corporate,Office Supplies,Supplies,5,83.281
32,4158.912,CA-2016-159016,2016-03-10,KF-16285,Home Office,Technology,Phones,8,363.9048
33,4007.84,CA-2014-128209,2014-11-17,GT-14710,Consumer,Furniture,Bookcases,10,-50.098
34,3999.95,CA-2016-128818,2016-05-07,CJ-12010,Consumer,Technology,Machines,5,1159.9855
35,3991.98,CA-2014-164973,2014-11-04,NM-18445,Home Office,Technology,Machines,2,1995.99
36,3930.072,CA-2016-103982,2016-03-03,AA-10315,Consumer,Office Supplies,Supplies,3,-786.0144
37,3812.97,CA-2015-120782,2015-04-28,SD-20485,Home Office,Office Supplies,Binders,3,1906.485
38,3785.292,CA-2014-116246,2014-09-12,LW-17215,Consumer,Furniture,Chairs,6,420.588
39,3610.848,CA-2014-168494,2014-12-12,NP-18700,Consumer,Furniture,Tables,12,135.4068
40,3504.9,CA-2016-122903,2016-05-27,LA-16780,Corporate,Furniture,Chairs,5,700.98
41,3499.93,CA-2014-163223,2014-03-21,KH-16690,Corporate,Technology,Phones,7,909.9818
42,3406.664,CA-2016-107104,2016-11-26,MS-17365,Consumer,Furniture,Bookcases,8,160.3136
43,3404.5,CA-2017-165323,2017-06-17,SR-20740,Home Office,Technology,Machines,5,1668.205
44,3393.68,CA-2015-164301,2015-03-26,EB-13840,Corporate,Furniture,Tables,8,610.8624
45,3359.952,CA-2017-133865,2017-05-08,PS-19045,Home Office,Technology,Copiers,6,1049.985
46,3357.6,CA-2016-169663,2016-03-10,RH-19510,Home Office,Technology,Machines,3,377.73
47,3347.37,CA-2016-145625,2016-09-11,KC-16540,Consumer,Technology,Accessories,13,636.0003
48,3266.376,CA-2014-144414,2014-06-17,GH-14425,Consumer,Office Supplies,Binders,3,1061.5722
49,3149.93,CA-2015-111829,2015-03-19,FH-14365,Corporate,Technology,Copiers,7,1480.4671
50,3083.43,US-2015-150630,2015-09-17,TB-21520,Consumer,Furniture,Bookcases,7,-1665.0522
51,3080.0,CA-2015-102491,2015-08-24,KW-16435,Consumer,Technology,Machines,7,1416.8
52,3059.982,US-2014-106992,2014-09-19,SB-20290,Corporate,Technology,Machines,3,-509.997
53,3059.982,CA-2017-159366,2017-01-07,BW-11110,Corporate,Technology,Machines,2,679.996
54,3050.376,US-2015-163825,2015-06-16,LC-16885,Consumer,Office Supplies,Binders,3,1143.891
55,3040.0,CA-2016-133711,2016-11-26,MC-17425,Corporate,Technology,Machines,8,1459.2
56,3023.928,CA-2016-160717,2016-06-06,ME-17320,Home Office,Technology,Phones,9,226.7946
57,2999.95,CA-2017-127432,2017-01-22,AD-10180,Home Office,Technology,Copiers,5,1379.977
58,2999.95,CA-2017-133263,2017-03-31,JE-15610,Corporate,Technology,Copiers,5,1439.976
59,2973.32,CA-2015-149846,2015-05-22,SB-20185,Consumer,Technology,Machines,7,334.4985
60,2939.93,US-2017-105935,2017-01-26,BD-11500,Consumer,Technology,Phones,7,764.3818
61,2934.33,CA-2014-119375,2014-11-17,YC-21895,Corporate,Office Supplies,Storage,7,792.2691
62,2888.127,CA-2017-100111,2017-09-20,SV-20365,Consumer,Furniture,Chairs,11,609.7157
63,2887.056,US-2016-126452,2016-08-21,SC-20230,Corporate,Furniture,Tables,9,180.441
64,2879.952,CA-2017-145219,2017-12-24,RM-19675,Home Office,Technology,Copiers,6,1007.9832
65,2807.84,CA-2014-120474,2014-12-01,RP-19390,Consumer,Furniture,Chairs,8,673.8816
66,2803.92,CA-2017-102204,2017-05-01,CJ-12010,Consumer,Furniture,Chairs,5,0.0
67,2803.92,CA-2015-164777,2015-01-27,SC-20305,Consumer,Furniture,Chairs,5,0.0
68,2799.96,US-2015-100377,2015-08-28,TS-21370,Corporate,Technology,Copiers,5,874.9875
69,2799.96,CA-2016-135265,2016-07-07,CC-12370,Consumer,Technology,Copiers,5,944.9865
70,2799.96,CA-2014-160766,2014-09-14,DM-13015,Consumer,Technology,Machines,4,1371.9804
71,2799.96,CA-2016-129630,2016-09-04,IM-15055,Consumer,Technology,Copiers,5,944.9865
72,2799.944,US-2015-160857,2015-05-08,NW-18400,Consumer,Technology,Copiers,7,1014.9797
73,2793.528,CA-2017-119809,2017-08-18,YS-21880,Corporate,Office Supplies,Binders,9,942.8157
74,2735.952,CA-2014-154627,2014-10-29,SA-20830,Consumer,Technology,Phones,6,341.994
75,2715.93,CA-2014-117639,2014-05-21,MW-18235,Corporate,Office Supplies,Binders,7,1276.4871
76,2690.97,CA-2017-157854,2017-04-08,DM-13345,Corporate,Office Supplies,Binders,3,1264.7559
